Name,Year,Gender,State,Count
Sophia,2004,F,DC,53
Katherine,2004,F,DC,48
Kayla,2004,F,DC,48
Elizabeth,2004,F,DC,42
Emma,2004,F,DC,42
Caroline,2004,F,DC,41
Abigail,2004,F,DC,40
Olivia,2004,F,DC,40
Sarah,2004,F,DC,38
Sydney,2004,F,DC,36
Ashley,2004,F,DC,35
Ella,2004,F,DC,35
Alexandra,2004,F,DC,34
Anna,2004,F,DC,34
Madison,2004,F,DC,33
Ava,2004,F,DC,31
Jasmine,2004,F,DC,31
Grace,2004,F,DC,30
Zoe,2004,F,DC,29
Catherine,2004,F,DC,28
Destiny,2004,F,DC,28
Maya,2004,F,DC,28
Samantha,2004,F,DC,28
Taylor,2004,F,DC,28
Emily,2004,F,DC,27
Isabella,2004,F,DC,27
Julia,2004,F,DC,27
Morgan,2004,F,DC,27
Jessica,2004,F,DC,26
Lauren,2004,F,DC,26
Mary,2004,F,DC,26
Rachel,2004,F,DC,26
Sofia,2004,F,DC,26
Charlotte,2004,F,DC,25
Margaret,2004,F,DC,25
Alexis,2004,F,DC,24
Hannah,2004,F,DC,24
Brianna,2004,F,DC,23
Lily,2004,F,DC,23
Mia,2004,F,DC,23
Nicole,2004,F,DC,23
Victoria,2004,F,DC,23
Aaliyah,2004,F,DC,22
Amelia,2004,F,DC,22
Makayla,2004,F,DC,22
Jada,2004,F,DC,21
Kennedy,2004,F,DC,21
Madeline,2004,F,DC,21
Diana,2004,F,DC,20
Gabrielle,2004,F,DC,20
Angel,2004,F,DC,19
Chloe,2004,F,DC,19
Claire,2004,F,DC,19
Erin,2004,F,DC,19
Natalie,2004,F,DC,19
Amanda,2004,F,DC,18
Nia,2004,F,DC,18
Daniela,2004,F,DC,17
Jayla,2004,F,DC,17
Jennifer,2004,F,DC,17
Jordan,2004,F,DC,17
Maria,2004,F,DC,17
Michelle,2004,F,DC,17
Stephanie,2004,F,DC,17
Aniya,2004,F,DC,16
Jacqueline,2004,F,DC,16
Kelly,2004,F,DC,16
Kiara,2004,F,DC,16
Kimberly,2004,F,DC,16
Leah,2004,F,DC,16
Lucy,2004,F,DC,16
Angela,2004,F,DC,15
Isabel,2004,F,DC,15
Isabelle,2004,F,DC,15
Laura,2004,F,DC,15
Andrea,2004,F,DC,14
Eleanor,2004,F,DC,14
Megan,2004,F,DC,14
Nina,2004,F,DC,14
Nora,2004,F,DC,14
Sophie,2004,F,DC,14
Stella,2004,F,DC,14
Alicia,2004,F,DC,13
Allison,2004,F,DC,13
Diamond,2004,F,DC,13
Eva,2004,F,DC,13
Evelyn,2004,F,DC,13
Fiona,2004,F,DC,13
